P_value,Ensembl_id,FDR(Bonferroni),Protein_name,Relationship,UniProt_id,FDR(BH),Gene_id,Gene_symbol,Gene_name,Chromosome
0.041708,ENSG00000164047,1.0,Cathelicidin Antimicrobial Peptide,By_ingredient,P49913,0.083195,SMTT00466,CAMP,cathelicidin antimicrobial peptide,
2.1e-05,ENSG00000164305,1.0,Caspase-3,By_ingredient,P42574,0.001043,SMTT00480,CASP3,caspase 3,
0.002184,ENSG00000121691,1.0,Catalase,By_ingredient,P04040,0.012389,SMTT00487,CAT,Catalase,11
0.017894,ENSG00000108691,1.0,C-C Motif Chemokine 2,By_ingredient,P13500,0.05857,SMTT00516,CCL2,C-C motif chemokine ligand 2,
0.001463,ENSG00000271503,1.0,C-C Motif Chemokine 5,By_ingredient,P13501,0.019689,SMTT00518,CCL5,C-C motif chemokine ligand 5,
0.004272,ENSG00000145386,1.0,Cyclin-A2,By_ingredient,P20248,0.034167,SMTT00520,CCNA2,cyclin A2,
0.011141,ENSG00000112486,1.0,,By_ingredient,,0.049825,SMTT00528,CCR6,C-C Motif Chemokine Receptor 6,6
0.033507,ENSG00000178562,1.0,,By_ingredient,,0.075179,SMTT00538,CD28,CD28 Molecule,2
0.025237,ENSG00000167775,1.0,,By_ingredient,,0.067052,SMTT00540,CD320,CD320 Molecule,19
0.025008,ENSG00000102245,1.0,CD40 Ligand,By_ingredient,P29965,0.045101,SMTT00547,CD40LG,CD40 Ligand,X
0.016896,ENSG00000007312,1.0,,By_ingredient,,0.057825,SMTT00551,CD79B,CD79b Molecule,17
0.000374,ENSG00000101224,1.0,M-phase Inducer Phosphatase 2,By_ingredient,P30305,0.003633,SMTT00558,CDC25B,cell division cycle 25B,
0.031839,ENSG00000039068,1.0,,By_ingredient,,0.073855,SMTT00563,CDH1,Cadherin 1,16
0.049839,ENSG00000179776,1.0,Cadherin-5,By_ingredient,P33151,0.090719,SMTT00567,CDH5,cadherin 5,
0.001295,ENSG00000123374,1.0,Cyclin-dependent Kinase 2,By_ingredient,P24941,0.018287,SMTT00569,CDK2,cyclin dependent kinase 2,
0.002702,ENSG00000124762,1.0,Cyclin-dependent Kinase Inhibitor 1,By_ingredient,P38936,0.027838,SMTT00577,CDKN1A,Cyclin Dependent Kinase Inhibitor 1A,6
0.008484,ENSG00000198824,1.0,,By_ingredient,,0.044522,SMTT00623,CHAMP1,Chromosome Alignment Maintaining Phosphoprotein 1,13
0.936587,ENSG00000168539,1.0,Muscarinic Acetylcholine Receptor M1,By_ingredient,P11229,0.946049,SMTT00636,CHRM1,cholinergic receptor muscarinic 1,
0.005052,ENSG00000134871,1.0,,By_ingredient,,0.019019,SMTT00728,COL4A2,Collagen Type IV Alpha 2 Chain,13
0.044567,ENSG00000114270,1.0,,By_ingredient,,0.066821,SMTT00739,COL7A1,Collagen Type VII Alpha 1 Chain,3
0.025237,ENSG00000168993,1.0,,By_ingredient,,0.067052,SMTT00773,CPLX1,Complexin 1,4
0.025237,ENSG00000080819,1.0,,By_ingredient,,0.067052,SMTT00775,CPOX,Coproporphyrinogen Oxidase,3
0.039287,ENSG00000118260,1.0,Cyclic AMP-responsive Element-binding Protein 1,By_ingredient,P16220,0.080901,SMTT00786,CREB1,CAMP Responsive Element Binding Protein 1,2
0.025237,ENSG00000103316,1.0,Ketimine Reductase Mu-crystallin,By_ingredient,Q14894,0.067052,SMTT00808,CRYM,Crystallin Mu,16
0.029934,ENSG00000164400,1.0,Granulocyte-macrophage Colony-stimulating Factor,By_ingredient,P04141,0.050872,SMTT00811,CSF2,colony stimulating factor 2,
0.003083,ENSG00000159692,1.0,C-terminal-binding Protein 1,By_ingredient,Q13363,0.029848,SMTT00821,CTBP1,C-terminal Binding Protein 1,4
0.008167,ENSG00000116761,1.0,Cystathionine Gamma-lyase,By_ingredient,P32929,0.024054,SMTT00826,CTH,Cystathionine Gamma-lyase,1
0.012002,ENSG00000168036,1.0,Catenin Beta-1,By_ingredient,P35222,0.050378,SMTT00830,CTNNB1,Catenin Beta 1,3
0.000796,ENSG00000117984,1.0,Cathepsin D,By_ingredient,P07339,0.00616,SMTT00838,CTSD,Cathepsin D,11
0.001516,ENSG00000169245,1.0,C-X-C Motif Chemokine 10,By_ingredient,P02778,0.020149,SMTT00849,CXCL10,C-X-C motif chemokine ligand 10,
0.030939,ENSG00000169429,1.0,Interleukin-8,By_ingredient,P10145,0.072779,SMTT00851,CXCL8,C-X-C motif chemokine ligand 8,
0.020369,ENSG00000148795,1.0,"Steroid 17-alpha-hydroxylase/17,20 Lyase",By_ingredient,P05093,0.061735,SMTT00863,CYP17A1,Cytochrome P450 Family 17 Subfamily A Member 1,10
0.00896,ENSG00000137869,1.0,Aromatase,By_ingredient,P11511,0.045463,SMTT00864,CYP19A1,Cytochrome P450 Family 19 Subfamily A Member 1,15
0.008167,ENSG00000140465,1.0,Cytochrome P450 1A1,By_ingredient,P04798,0.024054,SMTT00865,CYP1A1,cytochrome P450 family 1 subfamily A member 1,
0.087167,ENSG00000140505,1.0,Cytochrome P450 1A2,By_ingredient,P05177,0.111656,SMTT00866,CYP1A2,cytochrome P450 family 1 subfamily A member 2,
0.054201,ENSG00000130649,1.0,Cytochrome P450 2E1,By_ingredient,P05181,0.077088,SMTT00880,CYP2E1,cytochrome P450 family 2 subfamily E member 1,
0.008484,,1.0,,By_ingredient,,0.044522,SMTT00891,CYTB,Cytochrome B,MT
0.008484,ENSG00000152457,1.0,,By_ingredient,,0.044522,SMTT00910,DCLRE1C,DNA Cross-link Repair 1C,10
0.000705,ENSG00000132912,1.0,,By_ingredient,,0.012646,SMTT00914,DCTN4,Dynactin Subunit 4,5
0.025008,ENSG00000175197,1.0,,By_ingredient,,0.045101,SMTT00920,DDIT3,DNA Damage Inducible Transcript 3,12
0.016896,ENSG00000066084,1.0,,By_ingredient,,0.057825,SMTT00951,DIP2B,Disco Interacting Protein 2 Homolog B,12
0.033507,ENSG00000205981,1.0,,By_ingredient,,0.075179,SMTT00988,DNAJC19,DnaJ Heat Shock Protein Family (Hsp40) Member C19,3
0.006096,ENSG00000087470,1.0,,By_ingredient,,0.039057,SMTT00995,DNM1L,Dynamin 1 Like,12
0.020369,ENSG00000130816,1.0,DNA (cytosine-5)-methyltransferase 1,By_ingredient,P26358,0.061735,SMTT00997,DNMT1,DNA Methyltransferase 1,19
0.016896,ENSG00000000419,1.0,,By_ingredient,,0.057825,SMTT01009,DPM1,"Dolichyl-phosphate Mannosyltransferase Subunit 1, Catalytic",20
0.033507,ENSG00000147647,1.0,,By_ingredient,,0.075179,SMTT01015,DPYS,Dihydropyrimidinase,8
0.008484,ENSG00000171551,1.0,,By_ingredient,,0.044522,SMTT01049,ECEL1,Endothelin Converting Enzyme Like 1,2
0.008329,ENSG00000078401,1.0,Endothelin-1,By_ingredient,P05305,0.044277,SMTT01057,EDN1,Endothelin 1,6
0.016122,ENSG00000138798,1.0,Pro-epidermal Growth Factor,By_ingredient,P01133,0.05684,SMTT01069,EGF,Epidermal Growth Factor,4
0.000215,ENSG00000242372,1.0,Eukaryotic Translation Initiation Factor 6,By_ingredient,P56537,0.005615,SMTT01084,EIF6,eukaryotic translation initiation factor 6,
0.033507,ENSG00000049540,1.0,Elastin,By_ingredient,P15502,0.075179,SMTT01088,ELN,Elastin,7
0.016896,ENSG00000213853,1.0,,By_ingredient,,0.057825,SMTT01098,EMP2,Epithelial Membrane Protein 2,16
0.041708,ENSG00000108515,1.0,Beta-enolase,By_ingredient,P13929,0.083195,SMTT01102,ENO3,Enolase 3,17
0.041708,ENSG00000112425,1.0,,By_ingredient,,0.083195,SMTT01119,EPM2A,"EPM2A, Laforin Glucan Phosphatase",6
0.617214,ENSG00000091831,1.0,Estrogen Receptor,By_ingredient,P03372,0.646971,SMTT01141,ESR1,Estrogen Receptor 1,6
0.048276,ENSG00000140009,1.0,Estrogen Receptor Beta,By_ingredient,Q92731,0.089396,SMTT01142,ESR2,estrogen receptor 2,
0.07318,ENSG00000117525,1.0,Tissue Factor,By_ingredient,P13726,0.097066,SMTT01170,F3,"coagulation factor III, tissue factor",
0.049839,ENSG00000103876,1.0,Fumarylacetoacetase,By_ingredient,P16930,0.090719,SMTT01179,FAH,Fumarylacetoacetate Hydrolase,15
0.033507,ENSG00000115392,1.0,,By_ingredient,,0.075179,SMTT01196,FANCL,Fanconi Anemia Complementation Group L,2
0.033643,ENSG00000117560,1.0,,By_ingredient,,0.075378,SMTT01201,FASLG,Fas Ligand,1
2e-06,ENSG00000169710,0.776855,Fatty Acid Synthase,By_ingredient,P49327,0.000154,SMTT01202,FASN,fatty acid synthase,
0.041708,ENSG00000077942,1.0,,By_ingredient,,0.083195,SMTT01205,FBLN1,Fibulin 1,22
0.041708,ENSG00000179639,1.0,High Affinity Immunoglobulin Epsilon Receptor Subunit Alpha,By_ingredient,P12319,0.083195,SMTT01214,FCER1A,Fc fragment of IgE receptor Ia,
0.018907,ENSG00000066468,1.0,Fibroblast Growth Factor Receptor 2,By_ingredient,P21802,0.060162,SMTT01240,FGFR2,Fibroblast Growth Factor Receptor 2,10
0.049839,ENSG00000091483,1.0,,By_ingredient,,0.090719,SMTT01244,FH,Fumarate Hydratase,1
0.021877,ENSG00000102755,1.0,Vascular Endothelial Growth Factor Receptor 1,By_ingredient,P17948,0.050872,SMTT01262,FLT1,fms related tyrosine kinase 1,
0.010078,ENSG00000037280,1.0,Vascular Endothelial Growth Factor Receptor 3,By_ingredient,P35916,0.026817,SMTT01264,FLT4,Fms Related Tyrosine Kinase 4,5
0.008484,ENSG00000176692,1.0,,By_ingredient,,0.044522,SMTT01274,FOXC2,Forkhead Box C2,16
0.025237,ENSG00000140718,1.0,Alpha-ketoglutarate-dependent Dioxygenase FTO,By_ingredient,Q9C0B1,0.067052,SMTT01302,FTO,"FTO, Alpha-ketoglutarate Dependent Dioxygenase",16
0.041708,ENSG00000141012,1.0,,By_ingredient,,0.083195,SMTT01332,GALNS,Galactosamine (N-acetyl)-6-sulfatase,16
0.101968,ENSG00000171766,1.0,"Glycine Amidinotransferase, Mitochondrial",By_ingredient,P50440,0.126933,SMTT01348,GATM,Glycine Amidinotransferase,15
0.025237,ENSG00000140905,1.0,"Glycine Cleavage System H Protein, Mitochondrial",By_ingredient,P23434,0.067052,SMTT01358,GCSH,Glycine Cleavage System Protein H,16
0.025237,ENSG00000223802,1.0,,By_ingredient,,0.067052,SMTT01360,GDF1,Growth Differentiation Factor 1,19
0.008484,ENSG00000184344,1.0,,By_ingredient,,0.044522,SMTT01362,GDF3,Growth Differentiation Factor 3,12
0.008484,ENSG00000125965,1.0,Growth/differentiation Factor 5,By_ingredient,P43026,0.044522,SMTT01363,GDF5,Growth Differentiation Factor 5,20
0.008484,ENSG00000156466,1.0,,By_ingredient,,0.044522,SMTT01364,GDF6,Growth Differentiation Factor 6,8
0.016896,ENSG00000198380,1.0,,By_ingredient,,0.057825,SMTT01372,GFPT1,Glutamine--fructose-6-phosphate Transaminase 1,2
0.041708,ENSG00000106128,1.0,Growth Hormone-releasing Hormone Receptor,By_ingredient,Q02643,0.083195,SMTT01376,GHRHR,Growth Hormone Releasing Hormone Receptor,7
0.008167,ENSG00000170266,1.0,,By_ingredient,,0.024054,SMTT01392,GLB1,Galactosidase Beta 1,3
0.00896,ENSG00000148672,1.0,"Glutamate Dehydrogenase 1, Mitochondrial",By_ingredient,P00367,0.045463,SMTT01405,GLUD1,Glutamate Dehydrogenase 1,10
0.003747,ENSG00000135821,1.0,Glutamine Synthetase,By_ingredient,P15104,0.032355,SMTT01406,GLUL,Glutamate-ammonia Ligase,1
0.016122,ENSG00000127955,1.0,Guanine Nucleotide-binding Protein G(i) Subunit Alpha-1,By_ingredient,P63096,0.05684,SMTT01413,GNAI1,G protein subunit alpha i1,
0.010024,ENSG00000065135,1.0,,By_ingredient,,0.047444,SMTT01415,GNAI3,G Protein Subunit Alpha I3,1
0.049839,ENSG00000087460,1.0,Guanine Nucleotide-binding Protein G(s) Subunit Alpha Isoforms Short,By_ingredient,P63092,0.090719,SMTT01419,GNAS,GNAS Complex Locus,20
0.018907,ENSG00000124713,1.0,Glycine N-methyltransferase,By_ingredient,Q14749,0.060162,SMTT01426,GNMT,Glycine N-methyltransferase,6
0.033507,ENSG00000135677,1.0,,By_ingredient,,0.075179,SMTT01432,GNS,Glucosamine (N-acetyl)-6-sulfatase,12
2e-06,ENSG00000120053,0.192668,"Aspartate Aminotransferase, Cytoplasmic",By_ingredient,P17174,8.8e-05,SMTT01436,GOT1,glutamic-oxaloacetic transaminase 1,
0.010024,ENSG00000171723,1.0,Gephyrin,By_ingredient,Q9NQX3,0.047444,SMTT01446,GPHN,Gephyrin,14
0.001622,ENSG00000167701,1.0,Alanine Aminotransferase 1,By_ingredient,P24298,0.010184,SMTT01456,GPT,glutamic--pyruvic transaminase,
0.039714,ENSG00000166123,1.0,Alanine Aminotransferase 2,By_ingredient,Q8TD30,0.061462,SMTT01457,GPT2,Glutamic--pyruvic Transaminase 2,16
0.006096,ENSG00000167468,1.0,"Phospholipid Hydroperoxide Glutathione Peroxidase, Mitochondrial",By_ingredient,P36969,0.039057,SMTT01459,GPX4,Glutathione Peroxidase 4,19
0.054201,ENSG00000155511,1.0,Glutamate Receptor 1,By_ingredient,P42261,0.077088,SMTT01463,GRIA1,glutamate ionotropic receptor AMPA type subunit 1,
0.173568,ENSG00000120251,1.0,Glutamate Receptor 2,By_ingredient,P42262,0.200441,SMTT01464,GRIA2,glutamate ionotropic receptor AMPA type subunit 2,
0.004085,ENSG00000176884,1.0,"Glutamate Receptor Ionotropic, NMDA 1",By_ingredient,Q05586,0.017108,SMTT01468,GRIN1,Glutamate Ionotropic Receptor NMDA Type Subunit 1,9
0.020056,ENSG00000140287,1.0,Histidine Decarboxylase,By_ingredient,P19113,0.0393,SMTT01533,HDC,histidine decarboxylase,
0.023431,ENSG00000189403,1.0,High Mobility Group Protein B1,By_ingredient,P09429,0.06515,SMTT01564,HMGB1,high mobility group box 1,
0.049418,ENSG00000113161,1.0,3-hydroxy-3-methylglutaryl-coenzyme A Reductase,By_ingredient,P04035,0.090378,SMTT01567,HMGCR,3-hydroxy-3-methylglutaryl-CoA reductase,
0.041708,ENSG00000005073,1.0,,By_ingredient,,0.083195,SMTT01581,HOXA11,Homeobox A11,7
0.016896,ENSG00000153976,1.0,Heparan Sulfate Glucosamine 3-O-sulfotransferase 3A1,By_ingredient,Q9Y663,0.057825,SMTT01603,HS3ST3A1,heparan sulfate-glucosamine 3-sulfotransferase 3A1,
0.000421,ENSG00000090339,1.0,Intercellular Adhesion Molecule 1,By_ingredient,P05362,0.008917,SMTT01638,ICAM1,intercellular adhesion molecule 1,
0.041708,ENSG00000182054,1.0,"Isocitrate Dehydrogenase [NADP], Mitochondrial",By_ingredient,P48735,0.083195,SMTT01642,IDH2,"Isocitrate Dehydrogenase (NADP(+)) 2, Mitochondrial",15
0.003364,,1.0,Ig Gamma-1 Chain C Region,By_ingredient,P01857,0.015708,SMTT01671,IGHG1,immunoglobulin heavy constant gamma 1 (G1m marker),
0.033507,ENSG00000123496,1.0,Interleukin-13 Receptor Subunit Alpha-2,By_ingredient,Q14627,0.075179,SMTT01691,IL13RA2,interleukin 13 receptor subunit alpha 2,
0.002969,ENSG00000115008,1.0,Interleukin-1 Alpha,By_ingredient,P01583,0.029294,SMTT01696,IL1A,interleukin 1 alpha,
4e-06,ENSG00000125538,1.0,Interleukin-1 Beta,By_ingredient,P01584,0.00027,SMTT01697,IL1B,interleukin 1 beta,
0.006946,ENSG00000136244,1.0,Interleukin-6,By_ingredient,P05231,0.041339,SMTT01712,IL6,Interleukin 6,7
0.041708,ENSG00000259207,1.0,Integrin Beta-3,By_ingredient,P05106,0.083195,SMTT01757,ITGB3,Integrin Subunit Beta 3,17
0.016896,ENSG00000125877,1.0,Inosine Triphosphate Pyrophosphatase,By_ingredient,Q9BY32,0.057825,SMTT01762,ITPA,Inosine Triphosphatase,20
0.020369,ENSG00000162434,1.0,Tyrosine-protein Kinase JAK1,By_ingredient,P23458,0.061735,SMTT01770,JAK1,Janus kinase 1,
0.030074,ENSG00000096968,1.0,Tyrosine-protein Kinase JAK2,By_ingredient,O60674,0.071959,SMTT01771,JAK2,Janus Kinase 2,9
0.004942,ENSG00000177606,1.0,Transcription Factor AP-1,By_ingredient,P05412,0.018859,SMTT01778,JUN,"Jun proto-oncogene, AP-1 transcription factor subunit",
0.025237,ENSG00000069424,1.0,,By_ingredient,,0.067052,SMTT01792,KCNAB2,Potassium Voltage-gated Channel Subfamily A Regulatory Beta Subunit 2,1
0.891126,ENSG00000055118,1.0,Potassium Voltage-gated Channel Subfamily H Member 2,By_ingredient,Q12809,0.90498,SMTT01803,KCNH2,Potassium Voltage-gated Channel Subfamily H Member 2,7
0.033507,ENSG00000151704,1.0,ATP-sensitive Inward Rectifier Potassium Channel 1,By_ingredient,P48048,0.075179,SMTT01804,KCNJ1,Potassium Voltage-gated Channel Subfamily J Member 1,11
0.049839,ENSG00000177807,1.0,ATP-sensitive Inward Rectifier Potassium Channel 10,By_ingredient,P78508,0.090719,SMTT01805,KCNJ10,Potassium Voltage-gated Channel Subfamily J Member 10,1
0.00248,ENSG00000187486,1.0,ATP-sensitive Inward Rectifier Potassium Channel 11,By_ingredient,Q14654,0.026381,SMTT01806,KCNJ11,Potassium Voltage-gated Channel Subfamily J Member 11,11
0.041708,ENSG00000115474,1.0,,By_ingredient,,0.083195,SMTT01807,KCNJ13,Potassium Voltage-gated Channel Subfamily J Member 13,2
0.00194,ENSG00000156113,1.0,Calcium-activated Potassium Channel Subunit Alpha-1,By_ingredient,Q12791,0.023272,SMTT01816,KCNMA1,Potassium Calcium-activated Channel Subfamily M Alpha 1,10
0.041708,ENSG00000053918,1.0,Potassium Voltage-gated Channel Subfamily KQT Member 1,By_ingredient,P51787,0.083195,SMTT01819,KCNQ1,Potassium Voltage-gated Channel Subfamily Q Member 1,11
0.23068,ENSG00000128052,1.0,Vascular Endothelial Growth Factor Receptor 2,By_ingredient,P35968,0.259123,SMTT01833,KDR,Kinase Insert Domain Receptor,4
0.001687,ENSG00000079999,1.0,Kelch-like ECH-associated Protein 1,By_ingredient,Q14145,0.021644,SMTT01834,KEAP1,Kelch Like ECH Associated Protein 1,19
0.014802,ENSG00000115919,1.0,Kynureninase,By_ingredient,Q16719,0.054954,SMTT01902,KYNU,Kynureninase,2
0.025237,ENSG00000179630,1.0,,By_ingredient,,0.067052,SMTT01905,LACC1,Laccase Domain Containing 1,13
0.077866,ENSG00000115850,1.0,Lactase-phlorizin Hydrolase,By_ingredient,P09848,0.10187,SMTT01926,LCT,Lactase,2
0.000823,ENSG00000134333,1.0,L-lactate Dehydrogenase A Chain,By_ingredient,P00338,0.013954,SMTT01928,LDHA,Lactate Dehydrogenase A,11
0.016896,ENSG00000161904,1.0,,By_ingredient,,0.057825,SMTT01931,LEMD2,LEM Domain Containing 2,6
0.016896,ENSG00000174106,1.0,,By_ingredient,,0.057825,SMTT01932,LEMD3,LEM Domain Containing 3,12
0.000705,ENSG00000146166,1.0,Lengsin,By_ingredient,Q5TDP6,0.012646,SMTT01939,LGSN,"lengsin, lens protein with glutamine synthetase domain",
0.063738,ENSG00000175445,1.0,Lipoprotein Lipase,By_ingredient,P06858,0.08701,SMTT01979,LPL,Lipoprotein Lipase,8
0.256833,ENSG00000189221,1.0,Amine Oxidase [flavin-containing] A,By_ingredient,P21397,0.285873,SMTT02024,MAOA,Monoamine Oxidase A,X
0.052408,ENSG00000069535,1.0,Amine Oxidase [flavin-containing] B,By_ingredient,P27338,0.075113,SMTT02025,MAOB,monoamine oxidase B,
0.020056,ENSG00000078018,1.0,Microtubule-associated Protein 2,By_ingredient,P11137,0.0393,SMTT02027,MAP2,microtubule associated protein 2,
0.006946,ENSG00000100030,1.0,Mitogen-activated Protein Kinase 1,By_ingredient,P28482,0.041339,SMTT02033,MAPK1,Mitogen-activated Protein Kinase 1,22
