P_value,Ensembl_id,FDR(Bonferroni),Protein_name,Relationship,UniProt_id,FDR(BH),Gene_id,Gene_symbol,Gene_name,Chromosome
0.0,ENSG00000133019,0.134967,Muscarinic Acetylcholine Receptor M3,By_ingredient,P20309,3.7e-05,SMTT00637,CHRM3,Cholinergic Receptor Muscarinic 3,1
0.004886,ENSG00000120903,1.0,Neuronal Acetylcholine Receptor Subunit Alpha-2,By_ingredient,Q15822,0.035673,SMTT00639,CHRNA2,Cholinergic Receptor Nicotinic Alpha 2 Subunit,8
0.014002,ENSG00000175344,1.0,Neuronal Acetylcholine Receptor Subunit Alpha-7,By_ingredient,P36544,0.053475,SMTT00642,CHRNA7,Cholinergic Receptor Nicotinic Alpha 7 Subunit,15
0.014643,ENSG00000184908,1.0,,By_ingredient,,0.032931,SMTT00670,CLCNKB,Chloride Voltage-gated Channel Kb,1
0.000697,ENSG00000108821,1.0,Collagen Alpha-1(I) Chain,By_ingredient,P02452,0.012559,SMTT00721,COL1A1,Collagen Type I Alpha 1 Chain,17
0.035391,ENSG00000080819,1.0,,By_ingredient,,0.076813,SMTT00775,CPOX,Coproporphyrinogen Oxidase,3
0.035391,ENSG00000103316,1.0,Ketimine Reductase Mu-crystallin,By_ingredient,Q14894,0.076813,SMTT00808,CRYM,Crystallin Mu,16
0.006001,ENSG00000159692,1.0,C-terminal-binding Protein 1,By_ingredient,Q13363,0.03895,SMTT00821,CTBP1,C-terminal Binding Protein 1,4
0.180666,ENSG00000116761,1.0,Cystathionine Gamma-lyase,By_ingredient,P32929,0.207704,SMTT00826,CTH,Cystathionine Gamma-lyase,1
0.004125,ENSG00000117984,1.0,Cathepsin D,By_ingredient,P07339,0.01725,SMTT00838,CTSD,Cathepsin D,11
0.12437,ENSG00000140505,1.0,Cytochrome P450 1A2,By_ingredient,P05177,0.150015,SMTT00866,CYP1A2,cytochrome P450 family 1 subfamily A member 2,
0.014643,ENSG00000138115,1.0,Cytochrome P450 2C8,By_ingredient,P10632,0.032931,SMTT00877,CYP2C8,cytochrome P450 family 2 subfamily C member 8,
0.204518,ENSG00000160868,1.0,Cytochrome P450 3A4,By_ingredient,P08684,0.232318,SMTT00883,CYP3A4,cytochrome P450 family 3 subfamily A member 4,
0.011939,ENSG00000152457,1.0,,By_ingredient,,0.050166,SMTT00910,DCLRE1C,DNA Cross-link Repair 1C,10
0.046909,ENSG00000184047|ENSG00000284934,1.0,"Diablo Homolog, Mitochondrial",By_ingredient,Q9NR28,0.08824,SMTT00946,DIABLO,Diablo IAP-binding Mitochondrial Protein,12
0.023735,ENSG00000066084,1.0,,By_ingredient,,0.065404,SMTT00951,DIP2B,Disco Interacting Protein 2 Homolog B,12
0.046909,ENSG00000205981,1.0,,By_ingredient,,0.08824,SMTT00988,DNAJC19,DnaJ Heat Shock Protein Family (Hsp40) Member C19,3
0.023735,ENSG00000000419,1.0,,By_ingredient,,0.065404,SMTT01009,DPM1,"Dolichyl-phosphate Mannosyltransferase Subunit 1, Catalytic",20
0.046909,ENSG00000147647,1.0,,By_ingredient,,0.08824,SMTT01015,DPYS,Dihydropyrimidinase,8
0.013556,ENSG00000184845,1.0,D(1A) Dopamine Receptor,By_ingredient,P21728,0.052861,SMTT01018,DRD1,dopamine receptor D1,
0.41256,ENSG00000149295,1.0,D(2) Dopamine Receptor,By_ingredient,P14416,0.444389,SMTT01019,DRD2,Dopamine Receptor D2,11
0.071114,ENSG00000140279,1.0,,By_ingredient,,0.094861,SMTT01033,DUOX2,Dual Oxidase 2,15
0.011939,ENSG00000171551,1.0,,By_ingredient,,0.050166,SMTT01049,ECEL1,Endothelin Converting Enzyme Like 1,2
0.023735,ENSG00000143369,1.0,,By_ingredient,,0.065404,SMTT01051,ECM1,Extracellular Matrix Protein 1,1
0.035391,ENSG00000167658,1.0,Elongation Factor 2,By_ingredient,P13639,0.076813,SMTT01063,EEF2,Eukaryotic Translation Elongation Factor 2,19
0.004839,ENSG00000104884,1.0,,By_ingredient,,0.035513,SMTT01128,ERCC2,"ERCC Excision Repair 2, TFIIH Core Complex Helicase Subunit",19
0.869493,ENSG00000091831,1.0,Estrogen Receptor,By_ingredient,P03372,0.885233,SMTT01141,ESR1,Estrogen Receptor 1,6
0.046909,ENSG00000115392,1.0,,By_ingredient,,0.08824,SMTT01196,FANCL,Fanconi Anemia Complementation Group L,2
0.023735,ENSG00000197601,1.0,,By_ingredient,,0.065404,SMTT01198,FAR1,Fatty Acyl-CoA Reductase 1,11
0.035391,ENSG00000140718,1.0,Alpha-ketoglutarate-dependent Dioxygenase FTO,By_ingredient,Q9C0B1,0.076813,SMTT01302,FTO,"FTO, Alpha-ketoglutarate Dependent Dioxygenase",16
0.046909,ENSG00000089280,1.0,,By_ingredient,,0.08824,SMTT01305,FUS,FUS RNA Binding Protein,16
0.01176,ENSG00000131482,1.0,,By_ingredient,,0.050166,SMTT01315,G6PC,Glucose-6-phosphatase Catalytic Subunit,17
0.0,ENSG00000022355,0.0,Gamma-aminobutyric Acid Receptor Subunit Alpha-1,By_ingredient,P14867,0.0,SMTT01320,GABRA1,Gamma-aminobutyric Acid Type A Receptor Alpha1 Subunit,5
0.185768,ENSG00000171766,1.0,"Glycine Amidinotransferase, Mitochondrial",By_ingredient,P50440,0.212932,SMTT01348,GATM,Glycine Amidinotransferase,15
0.035391,ENSG00000140905,1.0,"Glycine Cleavage System H Protein, Mitochondrial",By_ingredient,P23434,0.076813,SMTT01358,GCSH,Glycine Cleavage System Protein H,16
0.035391,ENSG00000223802,1.0,,By_ingredient,,0.076813,SMTT01360,GDF1,Growth Differentiation Factor 1,19
0.011939,ENSG00000184344,1.0,,By_ingredient,,0.050166,SMTT01362,GDF3,Growth Differentiation Factor 3,12
0.011939,ENSG00000125965,1.0,Growth/differentiation Factor 5,By_ingredient,P43026,0.050166,SMTT01363,GDF5,Growth Differentiation Factor 5,20
0.011939,ENSG00000156466,1.0,,By_ingredient,,0.050166,SMTT01364,GDF6,Growth Differentiation Factor 6,8
0.023735,ENSG00000198380,1.0,,By_ingredient,,0.065404,SMTT01372,GFPT1,Glutamine--fructose-6-phosphate Transaminase 1,2
0.180666,ENSG00000170266,1.0,,By_ingredient,,0.207704,SMTT01392,GLB1,Galactosidase Beta 1,3
0.007277,ENSG00000135821,1.0,Glutamine Synthetase,By_ingredient,P15104,0.04201,SMTT01406,GLUL,Glutamate-ammonia Ligase,1
0.030475,ENSG00000127955,1.0,Guanine Nucleotide-binding Protein G(i) Subunit Alpha-1,By_ingredient,P63096,0.072364,SMTT01413,GNAI1,G protein subunit alpha i1,
0.019162,ENSG00000065135,1.0,,By_ingredient,,0.060327,SMTT01415,GNAI3,G Protein Subunit Alpha I3,1
0.035579,ENSG00000124713,1.0,Glycine N-methyltransferase,By_ingredient,Q14749,0.077025,SMTT01426,GNMT,Glycine N-methyltransferase,6
0.266615,ENSG00000120053,1.0,"Aspartate Aminotransferase, Cytoplasmic",By_ingredient,P17174,0.295833,SMTT01436,GOT1,glutamic-oxaloacetic transaminase 1,
0.287981,ENSG00000167701,1.0,Alanine Aminotransferase 1,By_ingredient,P24298,0.317777,SMTT01456,GPT,glutamic--pyruvic transaminase,
0.05877,ENSG00000120251,1.0,Glutamate Receptor 2,By_ingredient,P42262,0.081929,SMTT01464,GRIA2,glutamate ionotropic receptor AMPA type subunit 2,
0.02125,ENSG00000244067,1.0,Glutathione S-transferase A2,By_ingredient,P09210,0.063149,SMTT01488,GSTA2,glutathione S-transferase alpha 2,
0.023427,ENSG00000134184,1.0,Glutathione S-transferase Mu 1,By_ingredient,P09488,0.06515,SMTT01489,GSTM1,glutathione S-transferase mu 1,
0.186694,ENSG00000084207,1.0,Glutathione S-transferase P,By_ingredient,P09211,0.213884,SMTT01491,GSTP1,glutathione S-transferase pi 1,
0.046909,ENSG00000169567,1.0,Histidine Triad Nucleotide-binding Protein 1,By_ingredient,P49773,0.08824,SMTT01551,HINT1,Histidine Triad Nucleotide Binding Protein 1,5
0.011939,ENSG00000156515,1.0,Hexokinase-1,By_ingredient,P19367,0.050166,SMTT01553,HK1,Hexokinase 1,10
0.023735,ENSG00000159267,1.0,Biotin--protein Ligase,By_ingredient,P50747,0.065404,SMTT01561,HLCS,Holocarboxylase Synthetase,21
0.013723,ENSG00000113161,1.0,3-hydroxy-3-methylglutaryl-coenzyme A Reductase,By_ingredient,P04035,0.053314,SMTT01567,HMGCR,3-hydroxy-3-methylglutaryl-CoA reductase,
0.023735,ENSG00000153976,1.0,Heparan Sulfate Glucosamine 3-O-sulfotransferase 3A1,By_ingredient,Q9Y663,0.065404,SMTT01603,HS3ST3A1,heparan sulfate-glucosamine 3-sulfotransferase 3A1,
0.023735,ENSG00000072506,1.0,3-hydroxyacyl-CoA Dehydrogenase Type-2,By_ingredient,Q99714,0.065404,SMTT01607,HSD17B10,Hydroxysteroid 17-beta Dehydrogenase 10,X
0.454484,ENSG00000166736,1.0,5-hydroxytryptamine Receptor 3A,By_ingredient,P46098,0.486664,SMTT01628,HTR3A,5-hydroxytryptamine receptor 3A,
0.011939,ENSG00000159110,1.0,Interferon Alpha/beta Receptor 2,By_ingredient,P48551,0.050166,SMTT01650,IFNAR2,interferon alpha and beta receptor subunit 2,
0.161149,,1.0,Ig Gamma-1 Chain C Region,By_ingredient,P01857,0.187646,SMTT01671,IGHG1,immunoglobulin heavy constant gamma 1 (G1m marker),
0.023735,ENSG00000132740,1.0,,By_ingredient,,0.065404,SMTT01673,IGHMBP2,Immunoglobulin Mu Binding Protein 2,11
0.018559,ENSG00000136634,1.0,Interleukin-10,By_ingredient,P22301,0.059665,SMTT01682,IL10,Interleukin 10,1
0.000342,ENSG00000168811,1.0,,By_ingredient,,0.007726,SMTT01686,IL12A,Interleukin 12A,3
0.000556,ENSG00000113302,1.0,Interleukin-12 Subunit Beta,By_ingredient,P29460,0.010741,SMTT01688,IL12B,Interleukin 12B,5
0.010159,ENSG00000169194,1.0,Interleukin-13,By_ingredient,P35225,0.047554,SMTT01690,IL13,interleukin 13,
0.011939,ENSG00000112116,1.0,,By_ingredient,,0.050166,SMTT01692,IL17F,Interleukin 17F,6
0.162312,ENSG00000109471,1.0,Interleukin-2,By_ingredient,P60568,0.188853,SMTT01700,IL2,interleukin 2,
0.023735,ENSG00000125877,1.0,Inosine Triphosphate Pyrophosphatase,By_ingredient,Q9BY32,0.065404,SMTT01762,ITPA,Inosine Triphosphatase,20
0.011939,ENSG00000166086,1.0,,By_ingredient,,0.050166,SMTT01773,JAM3,Junctional Adhesion Molecule 3,11
0.089273,ENSG00000177606,1.0,Transcription Factor AP-1,By_ingredient,P05412,0.113755,SMTT01778,JUN,"Jun proto-oncogene, AP-1 transcription factor subunit",
0.035391,ENSG00000069424,1.0,,By_ingredient,,0.076813,SMTT01792,KCNAB2,Potassium Voltage-gated Channel Subfamily A Regulatory Beta Subunit 2,1
0.830655,ENSG00000055118,1.0,Potassium Voltage-gated Channel Subfamily H Member 2,By_ingredient,Q12809,0.849337,SMTT01803,KCNH2,Potassium Voltage-gated Channel Subfamily H Member 2,7
0.035391,ENSG00000179630,1.0,,By_ingredient,,0.076813,SMTT01905,LACC1,Laccase Domain Containing 1,13
0.028042,ENSG00000134333,1.0,L-lactate Dehydrogenase A Chain,By_ingredient,P00338,0.070333,SMTT01928,LDHA,Lactate Dehydrogenase A,11
0.023735,ENSG00000161904,1.0,,By_ingredient,,0.065404,SMTT01931,LEMD2,LEM Domain Containing 2,6
0.023735,ENSG00000174106,1.0,,By_ingredient,,0.065404,SMTT01932,LEMD3,LEM Domain Containing 3,12
0.091451,ENSG00000175445,1.0,Lipoprotein Lipase,By_ingredient,P06858,0.116074,SMTT01979,LPL,Lipoprotein Lipase,8
0.0,ENSG00000090382,0.024255,Lysozyme C,By_ingredient,P61626,9e-06,SMTT02005,LYZ,Lysozyme,12
0.0,ENSG00000189221,0.017676,Amine Oxidase [flavin-containing] A,By_ingredient,P21397,1.4e-05,SMTT02024,MAOA,Monoamine Oxidase A,X
0.0,ENSG00000069535,5.9e-05,Amine Oxidase [flavin-containing] B,By_ingredient,P27338,0.0,SMTT02025,MAOB,monoamine oxidase B,
0.029072,ENSG00000078018,1.0,Microtubule-associated Protein 2,By_ingredient,P11137,0.049851,SMTT02027,MAP2,microtubule associated protein 2,
0.261174,ENSG00000100030,1.0,Mitogen-activated Protein Kinase 1,By_ingredient,P28482,0.290281,SMTT02033,MAPK1,Mitogen-activated Protein Kinase 1,22
0.192679,ENSG00000102882,1.0,Mitogen-activated Protein Kinase 3,By_ingredient,P27361,0.220127,SMTT02037,MAPK3,mitogen-activated protein kinase 3,
0.046909,ENSG00000121653,1.0,C-Jun-amino-terminal Kinase-interacting Protein 1,By_ingredient,Q9UQF2,0.08824,SMTT02039,MAPK8IP1,mitogen-activated protein kinase 8 interacting protein 1,
0.025692,ENSG00000050748,1.0,Mitogen-activated Protein Kinase 9,By_ingredient,P45984,0.067362,SMTT02040,MAPK9,mitogen-activated protein kinase 9,
0.001387,ENSG00000247626,1.0,,By_ingredient,,0.019036,SMTT02044,MARS2,"Methionyl-tRNA Synthetase 2, Mitochondrial",2
0.01176,ENSG00000240972,1.0,Macrophage Migration Inhibitory Factor,By_ingredient,P14174,0.050166,SMTT02106,MIF,Macrophage Migration Inhibitory Factor,22
0.008664,ENSG00000187098,1.0,,By_ingredient,,0.044852,SMTT02113,MITF,Melanogenesis Associated Transcription Factor,3
0.035391,ENSG00000132763,1.0,Methylmalonic Aciduria And Homocystinuria Type C Protein,By_ingredient,Q9Y4U1,0.076813,SMTT02128,MMACHC,"Methylmalonic Aciduria (cobalamin Deficiency) CblC Type, With Homocystinuria",1
0.011939,ENSG00000142606,1.0,,By_ingredient,,0.050166,SMTT02131,MMEL1,Membrane Metalloendopeptidase Like 1,1
0.168474,ENSG00000118113,1.0,Neutrophil Collagenase,By_ingredient,P22894,0.195143,SMTT02142,MMP8,matrix metallopeptidase 8,
0.272015,ENSG00000100985,1.0,Matrix Metalloproteinase-9,By_ingredient,P14780,0.301383,SMTT02143,MMP9,Matrix Metallopeptidase 9,20
0.001387,ENSG00000113318,1.0,,By_ingredient,,0.019036,SMTT02170,MSH3,MutS Homolog 3,5
0.046909,ENSG00000138379,1.0,Growth/differentiation Factor 8,By_ingredient,O14793,0.08824,SMTT02177,MSTN,Myostatin,2
0.023735,ENSG00000110921,1.0,Mevalonate Kinase,By_ingredient,Q03426,0.065404,SMTT02200,MVK,Mevalonate Kinase,12
0.174592,ENSG00000136997,1.0,Myc Proto-oncogene Protein,By_ingredient,P01106,0.201458,SMTT02203,MYC,"MYC Proto-oncogene, BHLH Transcription Factor",8
0.046909,ENSG00000108784,1.0,Alpha-N-acetylglucosaminidase,By_ingredient,P54802,0.08824,SMTT02237,NAGLU,N-acetyl-alpha-glucosaminidase,17
0.043292,ENSG00000158517,1.0,Neutrophil Cytosol Factor 1,By_ingredient,P14598,0.065354,SMTT02248,NCF1,Neutrophil Cytosolic Factor 1,7
0.806971,ENSG00000084676,1.0,Nuclear Receptor Coactivator 1,By_ingredient,Q15788,0.827418,SMTT02251,NCOA1,nuclear receptor coactivator 1,
0.046909,ENSG00000101247,1.0,,By_ingredient,,0.08824,SMTT02276,NDUFAF5,NADH:ubiquinone Oxidoreductase Complex Assembly Factor 5,20
0.046909,ENSG00000110400,1.0,,By_ingredient,,0.08824,SMTT02292,NECTIN1,Nectin Cell Adhesion Molecule 1,11
0.015266,ENSG00000134259,1.0,Beta-nerve Growth Factor,By_ingredient,P01138,0.055706,SMTT02316,NGF,Nerve Growth Factor,1
0.023735,ENSG00000183072,1.0,,By_ingredient,,0.065404,SMTT02327,NKX2-5,NK2 Homeobox 5,5
0.007277,ENSG00000239672,1.0,Nucleoside Diphosphate Kinase A,By_ingredient,P15531,0.04201,SMTT02336,NME1,NME/NM23 Nucleoside Diphosphate Kinase 1,17
0.046909,ENSG00000086288,1.0,,By_ingredient,,0.08824,SMTT02337,NME8,NME/NM23 Family Member 8,7
0.023735,ENSG00000173614,1.0,Nicotinamide/nicotinic Acid Mononucleotide Adenylyltransferase 1,By_ingredient,Q9HAN9,0.065404,SMTT02338,NMNAT1,Nicotinamide Nucleotide Adenylyltransferase 1,1
0.011939,ENSG00000156574,1.0,,By_ingredient,,0.050166,SMTT02342,NODAL,Nodal Growth Differentiation Factor,10
0.013192,ENSG00000007171,1.0,"Nitric Oxide Synthase, Inducible",By_ingredient,P35228,0.051993,SMTT02349,NOS2,nitric oxide synthase 2,
0.22768,ENSG00000124588,1.0,Ribosyldihydronicotinamide Dehydrogenase [quinone],By_ingredient,P16083,0.256007,SMTT02369,NQO2,N-ribosyldihydronicotinamide:quinone reductase 2,
0.057361,ENSG00000113580,1.0,Glucocorticoid Receptor,By_ingredient,P04150,0.080305,SMTT02379,NR3C1,Nuclear Receptor Subfamily 3 Group C Member 1,5
0.686075,ENSG00000151623,1.0,Mineralocorticoid Receptor,By_ingredient,P08235,0.713407,SMTT02380,NR3C2,Nuclear Receptor Subfamily 3 Group C Member 2,4
0.046909,ENSG00000122643,1.0,,By_ingredient,,0.08824,SMTT02396,NT5C3A,"5'-nucleotidase, Cytosolic IIIA",7
0.006001,ENSG00000135318,1.0,5'-nucleotidase,By_ingredient,P21589,0.03895,SMTT02397,NT5E,5'-nucleotidase Ecto,6
0.035391,ENSG00000124006,1.0,,By_ingredient,,0.076813,SMTT02413,OBSL1,Obscurin Like 1,2
0.909468,ENSG00000112038,1.0,Mu-type Opioid Receptor,By_ingredient,P35372,0.921592,SMTT02430,OPRM1,opioid receptor mu 1,
0.035391,ENSG00000244165,1.0,P2Y Purinoceptor 11,By_ingredient,Q96G91,0.076813,SMTT02451,P2RY11,Purinergic Receptor P2Y11,19
0.023735,ENSG00000117385,1.0,Prolyl 3-hydroxylase 1,By_ingredient,Q32P28,0.065404,SMTT02453,P3H1,Prolyl 3-hydroxylase 1,1
0.011939,ENSG00000217930,1.0,,By_ingredient,,0.050166,SMTT02465,PAM16,Presequence Translocase Associated Motor 16,16
0.035391,ENSG00000198682,1.0,,By_ingredient,,0.076813,SMTT02468,PAPSS2,3'-phosphoadenosine 5'-phosphosulfate Synthase 2,10
0.000423,ENSG00000161217,1.0,Choline-phosphate Cytidylyltransferase A,By_ingredient,P49585,0.008945,SMTT02495,PCYT1A,"Phosphate Cytidylyltransferase 1, Choline, Alpha",3
0.000607,ENSG00000172572,1.0,"CGMP-inhibited 3',5'-cyclic Phosphodiesterase A",By_ingredient,Q14432,0.011417,SMTT02499,PDE3A,Phosphodiesterase 3A,12
0.035391,ENSG00000110435,1.0,,By_ingredient,,0.076813,SMTT02515,PDHX,Pyruvate Dehydrogenase Complex Component X,11
0.130784,ENSG00000082175,1.0,Progesterone Receptor,By_ingredient,P06401,0.156587,SMTT02550,PGR,Progesterone Receptor,11
0.011939,ENSG00000102174,1.0,,By_ingredient,,0.050166,SMTT02552,PHEX,Phosphate Regulating Endopeptidase Homolog X-linked,X
0.006001,ENSG00000092621,1.0,D-3-phosphoglycerate Dehydrogenase,By_ingredient,O43175,0.03895,SMTT02556,PHGDH,Phosphoglycerate Dehydrogenase,1
0.023735,ENSG00000118762,1.0,,By_ingredient,,0.065404,SMTT02592,PKD2,"Polycystin 2, Transient Receptor Potential Cation Channel",4
0.023427,ENSG00000143627,1.0,Pyruvate Kinase PKLR,By_ingredient,P30613,0.06515,SMTT02594,PKLR,Pyruvate Kinase L/R,1
0.04304,ENSG00000122861,1.0,Urokinase-type Plasminogen Activator,By_ingredient,P00749,0.084591,SMTT02604,PLAU,"Plasminogen Activator, Urokinase",10
0.040987,ENSG00000198805,1.0,Purine Nucleoside Phosphorylase,By_ingredient,P00491,0.082657,SMTT02636,PNP,Purine Nucleoside Phosphorylase,14
0.035391,ENSG00000138035,1.0,,By_ingredient,,0.076813,SMTT02642,PNPT1,Polyribonucleotide Nucleotidyltransferase 1,2
0.00767,ENSG00000062822,1.0,,By_ingredient,,0.043188,SMTT02651,POLD1,"DNA Polymerase Delta 1, Catalytic Subunit",19
0.035391,ENSG00000140521,1.0,,By_ingredient,,0.076813,SMTT02653,POLG,"DNA Polymerase Gamma, Catalytic Subunit",15
